,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
174,DJI,20230727,35558.79,35282.72,35645.35,35216.58,35520.12,-237.4,-0.67,1.21,352233.63
175,DJI,20230726,35345.99,35520.12,35633.61,35306.27,35438.07,82.05,0.23,0.92,347334.13
176,DJI,20230725,35421.49,35438.07,35527.57,35365.26,35411.24,26.83,0.08,0.46,309326.69
177,DJI,20230724,35230.79,35411.24,35463.97,35230.79,35227.69,183.55,0.52,0.66,286173.19
178,DJI,20230721,35274.32,35227.69,35340.66,35186.05,35225.18,2.51,0.01,0.44,476659.0
179,DJI,20230720,35091.98,35225.18,35372.77,35091.98,35061.21,163.97,0.47,0.8,342315.0
180,DJI,20230719,34991.21,35061.21,35234.05,34991.21,34951.93,109.28,0.31,0.69,369623.88
181,DJI,20230718,34597.08,34951.93,34986.36,34530.61,34585.35,366.58,1.06,1.32,388389.32
182,DJI,20230717,34499.74,34585.35,34665.15,34418.72,34509.03,76.32,0.22,0.71,359780.13
183,DJI,20230714,34425.33,34509.03,34592.26,34425.33,34395.14,113.89,0.33,0.49,301913.13
184,DJI,20230713,34412.31,34395.14,34482.26,34365.33,34347.43,47.71,0.14,0.34,276378.63
185,DJI,20230712,34395.28,34347.43,34586.94,34308.78,34261.42,86.01,0.25,0.81,334074.82
186,DJI,20230711,34056.94,34261.42,34288.87,33993.01,33944.4,317.02,0.93,0.87,281650.5
187,DJI,20230710,33705.68,33944.4,33958.36,33705.68,33734.88,209.52,0.62,0.75,301536.69
188,DJI,20230707,33837.07,33734.88,34036.38,33716.75,33922.26,-187.38,-0.55,0.94,274725.63
189,DJI,20230706,34171.39,33922.26,34171.39,33771.47,34288.64,-366.38,-1.07,1.17,296241.63
190,DJI,20230705,34344.72,34288.64,34376.11,34226.98,34418.47,-129.83,-0.38,0.43,278248.0
191,DJI,20230704,34369.78,34418.47,34465.6,34286.54,34418.47,0.0,0.0,0.52,157599.0
192,DJI,20230703,34369.78,34418.47,34465.6,34286.54,34407.6,10.87,0.03,0.52,157599.0
193,DJI,20230630,34269.92,34407.6,34467.35,34269.92,34122.42,285.18,0.84,0.58,353289.13
194,DJI,20230629,33854.57,34122.42,34147.68,33828.63,33852.66,269.76,0.8,0.94,279942.63
195,DJI,20230628,33881.38,33852.66,33903.76,33755.92,33926.74,-74.08,-0.22,0.44,268052.5
196,DJI,20230627,33739.03,33926.74,33975.65,33730.39,33714.71,212.03,0.63,0.73,296261.88
197,DJI,20230626,33730.79,33714.71,33819.49,33610.32,33727.43,-12.72,-0.04,0.62,267559.19
198,DJI,20230623,33835.66,33727.43,33835.66,33646.49,33946.71,-219.28,-0.65,0.56,382708.0
199,DJI,20230622,33900.47,33946.71,34003.56,33835.39,33951.52,-4.81,-0.01,0.5,278546.38
200,DJI,20230621,33990.56,33951.52,34097.93,33876.17,34053.87,-102.35,-0.3,0.65,326237.32
201,DJI,20230620,34206.66,34053.87,34206.66,33915.93,34299.12,-245.25,-0.72,0.85,344616.69
202,DJI,20230619,34464.02,34299.12,34588.68,34285.69,34299.12,0.0,0.0,0.88,609152.82
203,DJI,20230616,34464.02,34299.12,34588.68,34285.69,34408.06,-108.94,-0.32,0.88,609152.82
204,DJI,20230615,33945.98,34408.06,34488.98,33945.98,33979.33,428.73,1.26,1.6,362533.82
205,DJI,20230614,34044.7,33979.33,34151.42,33783.55,34212.12,-232.79,-0.68,1.08,358487.69
206,DJI,20230613,34111.08,34212.12,34310.28,34107.98,34066.33,145.79,0.43,0.59,310680.19
207,DJI,20230612,33906.8,34066.33,34077.84,33878.46,33876.78,189.55,0.56,0.59,309504.0
208,DJI,20230609,33852.44,33876.78,33975.32,33787.16,33833.61,43.17,0.13,0.56,263229.82
209,DJI,20230608,33656.98,33833.61,33873.81,33630.04,33665.02,168.59,0.5,0.72,272719.69
210,DJI,20230607,33562.47,33665.02,33708.78,33546.11,33573.28,91.74,0.27,0.48,351540.19
211,DJI,20230606,33547.67,33573.28,33631.25,33399.69,33562.86,10.42,0.03,0.69,295703.13
212,DJI,20230605,33771.13,33562.86,33804.22,33552.79,33762.76,-199.9,-0.59,0.74,371099.13
213,DJI,20230602,33187.58,33762.76,33805.0,33187.58,33061.57,701.19,2.12,1.87,389257.0
214,DJI,20230601,32929.85,33061.57,33167.75,32704.51,32908.27,153.3,0.47,1.41,349463.38
215,DJI,20230531,32948.71,32908.27,32984.83,32739.73,33042.78,-134.51,-0.41,0.74,695134.38
216,DJI,20230530,33103.65,33042.78,33132.7,32893.97,33093.34,-50.56,-0.15,0.72,324222.38
217,DJI,20230529,32795.5,33093.34,33162.06,32795.5,33093.34,0.0,0.0,1.11,333796.19
218,DJI,20230526,32795.5,33093.34,33162.06,32795.5,32764.65,328.69,1.0,1.12,333796.19
219,DJI,20230525,32854.26,32764.65,32870.43,32586.56,32799.92,-35.27,-0.11,0.87,371260.63
220,DJI,20230524,33021.76,32799.92,33031.75,32752.44,33055.51,-255.59,-0.77,0.84,253316.0
221,DJI,20230523,33190.6,33055.51,33310.17,33013.29,33286.58,-231.07,-0.69,0.89,294261.0
222,DJI,20230522,33408.54,33286.58,33512.3,33207.85,33426.63,-140.05,-0.42,0.91,271479.63
223,DJI,20230519,33582.95,33426.63,33652.9,33336.66,33535.91,-109.28,-0.33,0.94,315213.69
224,DJI,20230518,33374.56,33535.91,33579.91,33212.09,33420.77,115.14,0.34,1.1,333070.63
225,DJI,20230517,33092.48,33420.77,33472.38,33050.41,33012.14,408.63,1.24,1.28,310712.63
226,DJI,20230516,33275.37,33012.14,33290.85,33006.19,33348.6,-336.46,-1.01,0.85,247673.69
227,DJI,20230515,33321.21,33348.6,33400.3,33161.93,33300.62,47.98,0.14,0.72,224522.0
228,DJI,20230512,33370.58,33300.62,33406.4,33110.61,33309.51,-8.89,-0.03,0.89,228721.63
229,DJI,20230511,33383.89,33309.51,33389.88,33127.7,33531.33,-221.82,-0.66,0.78,306788.38
230,DJI,20230510,33707.2,33531.33,33772.09,33239.45,33561.81,-30.48,-0.09,1.59,278729.32
231,DJI,20230509,33589.85,33561.81,33656.4,33509.72,33618.69,-56.88,-0.17,0.44,235140.19
232,DJI,20230508,33715.15,33618.69,33747.49,33509.23,33674.38,-55.69,-0.17,0.71,225681.5
233,DJI,20230505,33248.55,33674.38,33748.43,33248.55,33127.74,546.64,1.65,1.51,318573.13
234,DJI,20230504,33347.78,33127.74,33354.86,32937.5,33414.24,-286.5,-0.86,1.25,317322.82
235,DJI,20230503,33726.64,33414.24,33811.84,33396.05,33684.53,-270.29,-0.8,1.23,292784.38
236,DJI,20230502,34017.62,33684.53,34017.75,33436.66,34051.7,-367.17,-1.08,1.71,275727.63
237,DJI,20230501,34116.81,34051.7,34257.83,34030.14,34098.16,-46.46,-0.14,0.67,248595.19
238,DJI,20230428,33797.43,34098.16,34104.56,33728.4,33826.16,272.0,0.8,1.11,
239,DJI,20230427,33381.66,33826.16,33859.75,33374.65,33301.87,524.29,1.57,1.46,347460.13
240,DJI,20230426,33596.34,33301.87,33645.83,33235.85,33530.83,-228.96,-0.68,1.22,
241,DJI,20230425,33828.34,33530.83,33875.49,33525.39,33875.4,-344.57,-1.02,1.03,
242,DJI,20230424,33805.04,33875.4,33891.15,33726.09,33808.96,66.44,0.2,0.49,
243,DJI,20230421,33793.6,33808.96,33858.83,33688.57,33786.62,22.34,0.07,0.5,
244,DJI,20230420,33740.6,33786.62,33875.39,33677.74,33897.01,-110.39,-0.33,0.58,
245,DJI,20230419,33889.83,33897.01,33957.98,33814.65,33976.63,-79.62,-0.23,0.42,
246,DJI,20230418,33965.16,33976.63,34018.62,33791.89,33987.18,-10.55,-0.03,0.67,
247,DJI,20230417,33930.46,33987.18,33991.23,33796.91,33886.47,100.71,0.3,0.57,
248,DJI,20230414,33981.71,33886.47,34082.94,33730.85,34029.69,-143.22,-0.42,1.03,
249,DJI,20230413,33668.97,34029.69,34054.99,33605.17,33646.5,383.19,1.14,1.34,
250,DJI,20230412,33764.21,33646.5,33895.43,33593.32,33684.79,-38.29,-0.11,0.9,
251,DJI,20230411,33586.75,33684.79,33781.29,33586.75,33586.52,98.27,0.29,0.58,
252,DJI,20230410,33425.25,33586.52,33590.24,33343.43,33485.29,101.23,0.3,0.74,
253,DJI,20230406,33420.96,33485.29,33525.96,33325.37,33482.72,2.57,0.01,0.6,
254,DJI,20230405,33394.6,33482.72,33543.84,33376.27,33402.38,80.34,0.24,0.5,
255,DJI,20230404,33594.79,33402.38,33634.72,33275.62,33601.15,-198.77,-0.59,1.07,
256,DJI,20230403,33245.78,33601.15,33632.9,33245.78,33274.15,327.0,0.98,1.16,
257,DJI,20230331,32901.96,33274.15,33291.0,32901.96,32859.03,415.12,1.26,1.18,
258,DJI,20230330,32807.43,32859.03,32905.8,32682.87,32717.6,141.43,0.43,0.68,
259,DJI,20230329,32566.54,32717.6,32728.04,32539.94,32394.25,323.35,1.0,0.58,
260,DJI,20230328,32434.85,32394.25,32551.01,32295.5,32432.08,-37.83,-0.12,0.79,
261,DJI,20230327,32276.72,32432.08,32564.0,32276.72,32237.53,194.55,0.6,0.89,
262,DJI,20230324,32038.22,32237.53,32257.24,31805.18,32105.25,132.28,0.41,1.41,
263,DJI,20230323,32101.49,32105.25,32511.49,31864.74,32030.11,75.14,0.23,2.02,
